bucket, num, reported
a25639a8937b5c85e550f77aa34c9e45,2,HIGH
4f62e2cb47e794f7a53b17280759c037,2,HIGH
690f29d68677384011fdd1473b01bc4d,369,HIGH
16cb8e6adedd1de0a830c3bf447ccff0,25,HIGH
7ab44ea6ebe17c44b69561dd0debf924,2,HIGH
afdb51d810f54053505c21da686cb5a6,3,HIGH
5bee25d6066ee5c801d8a8fd49606583,2,HIGH
04021d42f0b441387bc7b17d286e1cb4,3,HIGH
3c0d33fce4d26f89bd7e0b02faf5fcc2,2,HIGH
d8cde36925dd35b9c6a6d33f6dea9278,2,HIGH
e31c0aa00311379ffcb182189f070fb7,2,HIGH
e5453ffec08f6e83aaa0471db88f416c,2,HIGH
096081210aedca51ae287e2789f6a4ac,2,HIGH
d2ab0d872e7b9fd916cb1d43734d58ad,5,HIGH
48aa03211161124cf621907c18544a50,2,HIGH
0b57ec0dcc7540fbf636d615c97ba5de,9,HIGH
f7407eaa9cdca40dd9acdcbde88e189f,2,HIGH
0c55fb94763e087902b1d4286c3a73b9,2,HIGH
7ac4caaefd4d5b6430c5f6524138b6d3,3,HIGH
c42b6d4c75696fdcee66b4c073049ac7,2,HIGH
0614f54aa7a06b82f203e6c7134e73da,3,HIGH
913f573be3e38ac2d0f974d18d976349,2,HIGH
703b27fb826b4a07bab8f4be45b78d30,3,HIGH
6a4e0b28193e995e77f3d56ee9138ad4,6,HIGH
51853e2c5e92b8a7c4686b4aca4b9cab,2,HIGH
ed934a7aef314054f1973bb5689e974b,3,HIGH
8789e98359041bc30601f9653ea24f96,2,HIGH
6ab10a3d88316f77639247812f3f0384,2,HIGH
538b9a8f235a757a399c5f6ec6a347d1,2,HIGH
1038a71b3e530bb455d9b3b922fa63df,5,HIGH
c8e0c98227dade55a71c7ceb1e7b9572,2,HIGH
7452bf837e945226f80c176644a910b4,2,HIGH
c8a79ad66462659d9ef7f4519c72b51e,3,HIGH
bac7430541b657e2114fa3c11ab96dea,2,HIGH
bb52e15a898a3d99c9faeceff065288b,2,HIGH
f521fdcb5fa51cd18a3cb4b99beaf592,2,HIGH
bcc9d010947533369f081411e777face,3,HIGH
8f1bd95dc59342f29b73c3a2afe43401,2,HIGH
9863dfd987e3f9da50b4e7bc77adcf3c,2,HIGH
258d549606605f09453b423285f1c499,2,HIGH
8d704503f6e65bc4b242f3fffd4882c3,2,HIGH
033f9de9c47f36a42cf6344eb11706a7,5,HIGH
2501a542ebe989646bbd2af17a7f68c5,3,HIGH
52ce18b87a1138e24f812d676897f316,2,HIGH
8ec59de482ed88b5a8f6949336f8c340,7,HIGH
fa59954d13e70ad3763d78ec3e9ae20b,8,HIGH
3a895295d29cc7680ca200373d6e97bb,3,HIGH
d4fe5fe639970d5c3c404ebfb825177d,9,HIGH
ed5d4105bb36f20626e04675854a090e,2,HIGH
9f9c5631f36701edc3e1ad2ca74137b0,2,HIGH
f6942b5061d265203d84ba9f7c1faf46,23,HIGH
73005b36830f1bd30de4e710cb7aac1b,2,HIGH
3e14e337bdf1fc4f7b59f72e9f67324f,2,HIGH
be279da648e5754edd0329649579e60c,2,HIGH
16f64cb3ce5338226728cb5474c2d71e,3,HIGH
82327c78948007afc349837a36c49c7f,2,HIGH
47ccd5a58877896a8b9e71a4ad2a40fa,2,HIGH
dd6e13ed9a012f0e60c53aa61ca71a54,3,HIGH
e43248df3b622a6f22e9b457ef96c4e4,2,HIGH
af9443d9e516cb3694141f3b673107ef,2,HIGH
652387dcb3c7dc9f9387e65231917d72,86,HIGH
d49b5d8f30cf836cb3260a6b1b00a306,2,HIGH
3667f69e29118240cb8111d75ad10952,2,HIGH
c4f319b16a26c8625fecbd2b6d308d59,3,HIGH
4d95ffd960d47c805253e326376d78b3,2,HIGH
7c2bd2e8d9dbcccedbe2b8ac13e7d637,2,HIGH
647417bc0fa2111e26bb114d1d727689,2,HIGH
1c8545f3eb058140021e13ef6871be9e,2,HIGH
75897e6a12618d1e820e0a030b41650c,2,HIGH
bf70791793f700f4941f868ef4c1002a,5,HIGH
9aacb4192c1f327ee78598c5e2816c50,2,HIGH
5c60e6cba7c36f34bd03598b3160d91b,3,HIGH
1ead409337dc2cac94ff646b7186356b,2,HIGH
17139322a49645c89d2b1bb80c3efa0f,2,HIGH
f3492e4831db36fed4028059939b4e9b,5,HIGH
4a9d5c44d2b3417f4d0dcf508c40fc09,2,HIGH
e419b7d0925722ce8b5b5f15519de4cb,2,HIGH
bad27a2351a69a842bc972a4ac161bc8,15,HIGH
1300e808c4074fc865be0392e10a4a4e,11,HIGH
a7f68a1c810364debcd653c9ccbd66d1,2,HIGH
9f4ab7f403a070cf11ca16ddb9cf5d76,2,HIGH
d1b9a198e676a7339fbeec18c3d84e9a,2,HIGH
